Latitude (decimal degrees):	42.330
Longitude (decimal degrees):	3.070
Elevation (m):	25
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	1.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,5.85,2.62,0.0
20190101:0110,0.0,0.0,0.0,5.42,2.62,0.0
20190101:0210,0.0,0.0,0.0,5.13,2.55,0.0
20190101:0310,0.0,0.0,0.0,4.81,2.48,0.0
20190101:0410,0.0,0.0,0.0,4.51,2.41,0.0
20190101:0510,0.0,0.0,0.0,4.41,2.41,0.0
20190101:0610,0.0,0.0,0.0,4.49,2.41,0.0
20190101:0710,0.0,0.0,0.0,4.17,2.48,0.0
20190101:0810,277.59,285.74,7.2,3.98,2.34,0.0
20190101:0910,584.24,596.79,14.87,6.47,1.86,0.0
20190101:1010,713.28,754.43,20.64,10.39,1.59,0.0
20190101:1110,798.31,864.5,23.99,12.06,1.45,0.0
20190101:1210,812.46,883.3,24.51,12.61,1.52,0.0
20190101:1310,736.29,792.35,22.15,12.87,1.52,0.0
20190101:1410,589.93,625.68,17.19,12.86,1.38,0.0
20190101:1510,388.52,412.32,10.13,12.51,1.1,0.0
20190101:1610,0.0,0.0,0.0,11.57,1.03,0.0
20190101:1710,0.0,0.0,0.0,10.75,0.69,0.0
20190101:1810,0.0,0.0,0.0,10.44,0.76,0.0
20190101:1910,0.0,0.0,0.0,9.71,0.9,0.0
20190101:2010,0.0,0.0,0.0,8.96,1.03,0.0
20190101:2110,0.0,0.0,0.0,7.35,1.24,0.0
20190101:2210,0.0,0.0,0.0,5.06,1.59,0.0
20190101:2310,0.0,0.0,0.0,4.0,1.72,0.0
20190102:0010,0.0,0.0,0.0,3.52,1.79,0.0
20190102:0110,0.0,0.0,0.0,3.0,1.93,0.0
20190102:0210,0.0,0.0,0.0,2.72,2.0,0.0
20190102:0310,0.0,0.0,0.0,2.42,2.34,0.0
20190102:0410,0.0,0.0,0.0,2.47,2.62,0.0
20190102:0510,0.0,0.0,0.0,2.76,3.1,0.0
20190102:0610,0.0,0.0,0.0,3.26,3.45,0.0
20190102:0710,0.0,0.0,0.0,3.05,4.07,0.0
20190102:0810,352.64,355.91,7.2,3.34,4.14,0.0
20190102:0910,628.37,629.83,14.89,5.58,4.0,0.0
20190102:1010,779.57,798.06,20.69,8.51,4.28,0.0
20190102:1110,859.29,894.62,24.06,10.76,4.55,0.0
20190102:1210,870.91,914.32,24.6,12.26,4.62,0.0
20190102:1310,797.57,832.09,22.26,12.9,4.9,0.0
20190102:1410,621.58,641.21,17.31,12.81,4.9,0.0
