# Renewables.ninja Wind (Point API) - 42.370, 3.080 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Madrid, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Madrid", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "42.37", "lon": "3.08", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "100", "turbine": "Gamesa G128 4500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,0.831,11.392
2019-01-01 01:00,2019-01-01 02:00,0.852,11.699
2019-01-01 02:00,2019-01-01 03:00,0.851,11.670
2019-01-01 03:00,2019-01-01 04:00,0.830,11.383
2019-01-01 04:00,2019-01-01 05:00,0.818,11.223
2019-01-01 05:00,2019-01-01 06:00,0.797,10.959
2019-01-01 06:00,2019-01-01 07:00,0.751,10.452
2019-01-01 07:00,2019-01-01 08:00,0.730,10.245
2019-01-01 08:00,2019-01-01 09:00,0.682,9.805
2019-01-01 09:00,2019-01-01 10:00,0.635,9.409
2019-01-01 10:00,2019-01-01 11:00,0.619,9.288
2019-01-01 11:00,2019-01-01 12:00,0.595,9.098
2019-01-01 12:00,2019-01-01 13:00,0.562,8.842
2019-01-01 13:00,2019-01-01 14:00,0.534,8.632
2019-01-01 14:00,2019-01-01 15:00,0.518,8.509
2019-01-01 15:00,2019-01-01 16:00,0.518,8.508
2019-01-01 16:00,2019-01-01 17:00,0.544,8.705
2019-01-01 17:00,2019-01-01 18:00,0.595,9.098
2019-01-01 18:00,2019-01-01 19:00,0.667,9.681
2019-01-01 19:00,2019-01-01 20:00,0.746,10.404
2019-01-01 20:00,2019-01-01 21:00,0.803,11.038
2019-01-01 21:00,2019-01-01 22:00,0.846,11.608
2019-01-01 22:00,2019-01-01 23:00,0.875,12.086
2019-01-01 23:00,2019-01-02 00:00,0.884,12.248
2019-01-02 00:00,2019-01-02 01:00,0.892,12.396
2019-01-02 01:00,2019-01-02 02:00,0.909,12.738
2019-01-02 02:00,2019-01-02 03:00,0.925,13.144
2019-01-02 03:00,2019-01-02 04:00,0.950,13.990
2019-01-02 04:00,2019-01-02 05:00,0.964,14.722
2019-01-02 05:00,2019-01-02 06:00,0.966,14.910
2019-01-02 06:00,2019-01-02 07:00,0.970,15.211
2019-01-02 07:00,2019-01-02 08:00,0.973,15.903
2019-01-02 08:00,2019-01-02 09:00,0.966,17.406
2019-01-02 09:00,2019-01-02 10:00,0.972,16.694
2019-01-02 10:00,2019-01-02 11:00,0.973,16.009
2019-01-02 11:00,2019-01-02 12:00,0.973,16.219
2019-01-02 12:00,2019-01-02 13:00,0.973,16.412
2019-01-02 13:00,2019-01-02 14:00,0.973,16.400
2019-01-02 14:00,2019-01-02 15:00,0.973,16.152
2019-01-02 15:00,2019-01-02 16:00,0.973,16.028
2019-01-02 16:00,2019-01-02 17:00,0.973,16.267
2019-01-02 17:00,2019-01-02 18:00,0.973,16.349
2019-01-02 18:00,2019-01-02 19:00,0.973,16.358
2019-01-02 19:00,2019-01-02 20:00,0.973,16.359
2019-01-02 20:00,2019-01-02 21:00,0.973,16.243
2019-01-02 21:00,2019-01-02 22:00,0.973,15.800
2019-01-02 22:00,2019-01-02 23:00,0.969,15.167
2019-01-02 23:00,2019-01-03 00:00,0.963,14.630
2019-01-03 00:00,2019-01-03 01:00,0.955,14.186
2019-01-03 01:00,2019-01-03 02:00,0.944,13.738
2019-01-03 02:00,2019-01-03 03:00,0.931,13.318
2019-01-03 03:00,2019-01-03 04:00,0.906,12.701
2019-01-03 04:00,2019-01-03 05:00,0.884,12.236
2019-01-03 05:00,2019-01-03 06:00,0.873,12.047
2019-01-03 06:00,2019-01-03 07:00,0.861,11.847
2019-01-03 07:00,2019-01-03 08:00,0.839,11.505
2019-01-03 08:00,2019-01-03 09:00,0.782,10.792
2019-01-03 09:00,2019-01-03 10:00,0.709,10.052
2019-01-03 10:00,2019-01-03 11:00,0.784,10.817
2019-01-03 11:00,2019-01-03 12:00,0.781,10.774
2019-01-03 12:00,2019-01-03 13:00,0.777,10.732
2019-01-03 13:00,2019-01-03 14:00,0.779,10.751
2019-01-03 14:00,2019-01-03 15:00,0.776,10.727
2019-01-03 15:00,2019-01-03 16:00,0.796,10.956
2019-01-03 16:00,2019-01-03 17:00,0.846,11.613
2019-01-03 17:00,2019-01-03 18:00,0.881,12.184
2019-01-03 18:00,2019-01-03 19:00,0.873,12.050
2019-01-03 19:00,2019-01-03 20:00,0.842,11.544
2019-01-03 20:00,2019-01-03 21:00,0.815,11.188
2019-01-03 21:00,2019-01-03 22:00,0.803,11.038
2019-01-03 22:00,2019-01-03 23:00,0.808,11.095
2019-01-03 23:00,2019-01-04 00:00,0.827,11.330
2019-01-04 00:00,2019-01-04 01:00,0.845,11.591
2019-01-04 01:00,2019-01-04 02:00,0.851,11.686
2019-01-04 02:00,2019-01-04 03:00,0.851,11.674
2019-01-04 03:00,2019-01-04 04:00,0.855,11.738
2019-01-04 04:00,2019-01-04 05:00,0.868,11.940
2019-01-04 05:00,2019-01-04 06:00,0.873,12.049
2019-01-04 06:00,2019-01-04 07:00,0.856,11.759
2019-01-04 07:00,2019-01-04 08:00,0.835,11.445
2019-01-04 08:00,2019-01-04 09:00,0.770,10.660
2019-01-04 09:00,2019-01-04 10:00,0.705,10.015
2019-01-04 10:00,2019-01-04 11:00,0.760,10.553
2019-01-04 11:00,2019-01-04 12:00,0.768,10.635
2019-01-04 12:00,2019-01-04 13:00,0.764,10.581
2019-01-04 13:00,2019-01-04 14:00,0.753,10.481
2019-01-04 14:00,2019-01-04 15:00,0.733,10.273
2019-01-04 15:00,2019-01-04 16:00,0.708,10.041
2019-01-04 16:00,2019-01-04 17:00,0.742,10.361
2019-01-04 17:00,2019-01-04 18:00,0.774,10.705
2019-01-04 18:00,2019-01-04 19:00,0.757,10.522
2019-01-04 19:00,2019-01-04 20:00,0.752,10.464
2019-01-04 20:00,2019-01-04 21:00,0.750,10.451
2019-01-04 21:00,2019-01-04 22:00,0.744,10.382
2019-01-04 22:00,2019-01-04 23:00,0.746,10.398
2019-01-04 23:00,2019-01-05 00:00,0.723,10.182
2019-01-05 00:00,2019-01-05 01:00,0.715,10.105
2019-01-05 01:00,2019-01-05 02:00,0.733,10.273
2019-01-05 02:00,2019-01-05 03:00,0.790,10.868
2019-01-05 03:00,2019-01-05 04:00,0.835,11.456
2019-01-05 04:00,2019-01-05 05:00,0.890,12.351
